seed,beta,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits
4,50,13,36,0.5217391304347826,25.0,20.692307692307693,1663,15,54,97,291,2,19,0,4.0956895999697736,30,0,0.3305291723202172,1,"[{""node"":""N3"",""tasks"":5,""started"":3,""wait"":12.666666666666666,""unstarted"":2},{""node"":""N4"",""tasks"":8,""started"":4,""wait"":22.5,""unstarted"":4},{""node"":""N5"",""tasks"":6,""started"":3,""wait"":13.0,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":16.0,""unstarted"":2},{""node"":""N7"",""tasks"":8,""started"":0,""wait"":null,""unstarted"":8},{""node"":""N8"",""tasks"":5,""started"":3,""wait"":58.666666666666664,""unstarted"":2}]"
0,0,16,36,0.44,30.95,33.6,2865,20,46,120,283,29,25,0,3.4334695999859832,34,0,0.18558106888599207,1,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":32.25,""unstarted"":3},{""node"":""N4"",""tasks"":5,""started"":3,""wait"":19.666666666666668,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":56.5,""unstarted"":3},{""node"":""N6"",""tasks"":7,""started"":5,""wait"":28.8,""unstarted"":2},{""node"":""N7"",""tasks"":7,""started"":6,""wait"":29.0,""unstarted"":1},{""node"":""N8"",""tasks"":5,""started"":0,""wait"":null,""unstarted"":5}]"
0,1,16,36,0.4,31.77777777777778,31.416666666666668,2470,18,47,134,330,30,35,0,3.8692698000231758,34,0,0.23816834819905447,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":32.0,""unstarted"":3},{""node"":""N4"",""tasks"":5,""started"":3,""wait"":30.0,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":37.5,""unstarted"":3},{""node"":""N6"",""tasks"":7,""started"":3,""wait"":21.666666666666668,""unstarted"":4},{""node"":""N7"",""tasks"":7,""started"":5,""wait"":26.8,""unstarted"":2},{""node"":""N8"",""tasks"":5,""started"":1,""wait"":80.0,""unstarted"":4}]"
0,2,16,36,0.48,33.36842105263158,38.2,3048,19,46,167,360,28,35,0,3.747785799962003,34,0,0.13933503836317132,1,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":27.75,""unstarted"":3},{""node"":""N4"",""tasks"":5,""started"":3,""wait"":30.0,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":3,""wait"":44.333333333333336,""unstarted"":2},{""node"":""N6"",""tasks"":7,""started"":3,""wait"":21.666666666666668,""unstarted"":4},{""node"":""N7"",""tasks"":7,""started"":6,""wait"":39.166666666666664,""unstarted"":1},{""node"":""N8"",""tasks"":5,""started"":0,""wait"":null,""unstarted"":5}]"
0,5,16,36,0.48,33.31578947368421,38.13333333333333,3043,19,46,174,348,35,30,0,3.809503799988306,34,0,0.07357251136937845,1,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":27.75,""unstarted"":3},{""node"":""N4"",""tasks"":5,""started"":3,""wait"":30.0,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":37.5,""unstarted"":3},{""node"":""N6"",""tasks"":7,""started"":4,""wait"":30.5,""unstarted"":3},{""node"":""N7"",""tasks"":7,""started"":6,""wait"":39.166666666666664,""unstarted"":1},{""node"":""N8"",""tasks"":5,""started"":0,""wait"":null,""unstarted"":5}]"
0,10,12,36,0.36,37.470588235294116,34.833333333333336,2747,17,53,246,332,32,45,0,5.709190599969588,34,0,0.32302146210596916,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":16.0,""unstarted"":3},{""node"":""N4"",""tasks"":5,""started"":3,""wait"":30.666666666666668,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":51.0,""unstarted"":3},{""node"":""N6"",""tasks"":7,""started"":2,""wait"":22.0,""unstarted"":5},{""node"":""N7"",""tasks"":7,""started"":5,""wait"":47.4,""unstarted"":2},{""node"":""N8"",""tasks"":5,""started"":1,""wait"":98.0,""unstarted"":4}]"
0,20,16,36,0.52,29.444444444444443,29.666666666666668,2480,18,46,99,343,30,33,0,4.578923200024292,34,0,0.2299156679982246,1,"[{""node"":""N3"",""tasks"":7,""started"":3,""wait"":20.0,""unstarted"":4},{""node"":""N4"",""tasks"":5,""started"":4,""wait"":18.0,""unstarted"":1},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":36.5,""unstarted"":3},{""node"":""N6"",""tasks"":7,""started"":2,""wait"":56.0,""unstarted"":5},{""node"":""N7"",""tasks"":7,""started"":7,""wait"":30.428571428571427,""unstarted"":0},{""node"":""N8"",""tasks"":5,""started"":0,""wait"":null,""unstarted"":5}]"
0,50,13,36,0.44,33.06666666666667,23.75,2058,15,52,138,314,10,46,0,5.574873600067804,34,0,0.4018334055146528,0,"[{""node"":""N3"",""tasks"":7,""started"":3,""wait"":11.333333333333334,""unstarted"":4},{""node"":""N4"",""tasks"":5,""started"":3,""wait"":34.666666666666664,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":19.5,""unstarted"":3},{""node"":""N6"",""tasks"":7,""started"":1,""wait"":19.0,""unstarted"":6},{""node"":""N7"",""tasks"":7,""started"":5,""wait"":38.4,""unstarted"":2},{""node"":""N8"",""tasks"":5,""started"":1,""wait"":108.0,""unstarted"":4}]"
2,0,18,36,0.55,28.15,31.46153846153846,2507,20,39,126,318,20,21,0,3.4677535999799147,28,0,0.13733528550512444,1,"[{""node"":""N3"",""tasks"":7,""started"":5,""wait"":24.6,""unstarted"":2},{""node"":""N4"",""tasks"":6,""started"":4,""wait"":36.25,""unstarted"":2},{""node"":""N5"",""tasks"":6,""started"":4,""wait"":17.25,""unstarted"":2},{""node"":""N6"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6},{""node"":""N7"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3},{""node"":""N8"",""tasks"":7,""started"":6,""wait"":33.5,""unstarted"":1}]"
2,1,17,36,0.45,30.7,32.166666666666664,2614,20,41,148,335,18,27,0,3.6351436999830185,28,0,0.27450980392156865,1,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":15.75,""unstarted"":3},{""node"":""N4"",""tasks"":6,""started"":4,""wait"":38.75,""unstarted"":2},{""node"":""N5"",""tasks"":6,""started"":3,""wait"":12.0,""unstarted"":3},{""node"":""N6"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6},{""node"":""N7"",""tasks"":4,""started"":3,""wait"":53.0,""unstarted"":1},{""node"":""N8"",""tasks"":7,""started"":6,""wait"":33.5,""unstarted"":1}]"
2,2,18,36,0.55,28.65,32.23076923076923,2557,20,39,133,304,37,26,0,4.031356900042738,28,0,0.1399492937341543,1,"[{""node"":""N3"",""tasks"":7,""started"":5,""wait"":24.6,""unstarted"":2},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":35.0,""unstarted"":1},{""node"":""N5"",""tasks"":6,""started"":4,""wait"":17.25,""unstarted"":2},{""node"":""N6"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6},{""node"":""N7"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3},{""node"":""N8"",""tasks"":7,""started"":5,""wait"":36.2,""unstarted"":2}]"
2,5,18,36,0.55,28.65,32.23076923076923,2557,20,39,133,304,33,28,0,4.154235299982247,28,0,0.1399492937341543,1,"[{""node"":""N3"",""tasks"":7,""started"":5,""wait"":24.6,""unstarted"":2},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":35.0,""unstarted"":1},{""node"":""N5"",""tasks"":6,""started"":4,""wait"":17.25,""unstarted"":2},{""node"":""N6"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6},{""node"":""N7"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3},{""node"":""N8"",""tasks"":7,""started"":5,""wait"":36.2,""unstarted"":2}]"
2,10,16,36,0.5,34.526315789473685,35.92307692307692,2902,19,42,207,312,27,43,0,4.418818899997859,28,0,0.20360663921128164,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":29.0,""unstarted"":3},{""node"":""N4"",""tasks"":6,""started"":6,""wait"":37.666666666666664,""unstarted"":0},{""node"":""N5"",""tasks"":6,""started"":3,""wait"":24.666666666666668,""unstarted"":3},{""node"":""N6"",""tasks"":6,""started"":1,""wait"":70.0,""unstarted"":5},{""node"":""N7"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3},{""node"":""N8"",""tasks"":7,""started"":4,""wait"":36.25,""unstarted"":3}]"
2,20,17,36,0.6,30.894736842105264,34.142857142857146,2717,19,39,141,309,24,24,0,4.3828184999438236,28,0,0.16207203201422848,0,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":33.75,""unstarted"":3},{""node"":""N4"",""tasks"":6,""started"":6,""wait"":30.833333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":6,""started"":3,""wait"":24.666666666666668,""unstarted"":3},{""node"":""N6"",""tasks"":6,""started"":2,""wait"":51.5,""unstarted"":4},{""node"":""N7"",""tasks"":4,""started"":1,""wait"":25.0,""unstarted"":3},{""node"":""N8"",""tasks"":7,""started"":3,""wait"":21.666666666666668,""unstarted"":4}]"
2,50,15,36,0.45,30.0,25.454545454545453,2090,17,44,156,325,9,34,0,4.55121090002649,28,0,0.3120643431635388,1,"[{""node"":""N3"",""tasks"":7,""started"":3,""wait"":10.0,""unstarted"":4},{""node"":""N4"",""tasks"":6,""started"":5,""wait"":37.4,""unstarted"":1},{""node"":""N5"",""tasks"":6,""started"":2,""wait"":15.0,""unstarted"":4},{""node"":""N6"",""tasks"":6,""started"":0,""wait"":null,""unstarted"":6},{""node"":""N7"",""tasks"":4,""started"":2,""wait"":57.0,""unstarted"":2},{""node"":""N8"",""tasks"":7,""started"":5,""wait"":29.8,""unstarted"":2}]"
3,0,18,36,0.5217391304347826,28.736842105263158,30.46153846153846,2430,19,45,181,430,13,36,0,3.796271799976239,29,1,0.25362028025818534,0,"[{""node"":""N3"",""tasks"":6,""started"":4,""wait"":18.75,""unstarted"":2},{""node"":""N4"",""tasks"":7,""started"":5,""wait"":30.2,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":12.5,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":3,""wait"":51.666666666666664,""unstarted"":1},{""node"":""N7"",""tasks"":6,""started"":2,""wait"":19.0,""unstarted"":4},{""node"":""N8"",""tasks"":8,""started"":3,""wait"":34.0,""unstarted"":5}]"
3,1,17,36,0.43478260869565216,29.0,22.916666666666668,2290,20,47,168,373,20,34,0,3.2379693000693806,29,0,0.2758953782137019,0,"[{""node"":""N3"",""tasks"":6,""started"":5,""wait"":16.0,""unstarted"":1},{""node"":""N4"",""tasks"":7,""started"":4,""wait"":14.25,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":27.0,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":3,""wait"":39.0,""unstarted"":1},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":28.666666666666668,""unstarted"":3},{""node"":""N8"",""tasks"":8,""started"":3,""wait"":62.0,""unstarted"":5}]"
3,2,16,36,0.34782608695652173,30.5,29.916666666666668,2548,20,50,180,361,8,30,0,4.058701599948108,29,0,0.16374457875795886,0,"[{""node"":""N3"",""tasks"":6,""started"":4,""wait"":18.75,""unstarted"":2},{""node"":""N4"",""tasks"":7,""started"":5,""wait"":33.2,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":27.0,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":35.0,""unstarted"":2},{""node"":""N7"",""tasks"":6,""started"":3,""wait"":21.666666666666668,""unstarted"":3},{""node"":""N8"",""tasks"":8,""started"":4,""wait"":45.0,""unstarted"":4}]"
3,5,18,36,0.5217391304347826,28.63157894736842,30.307692307692307,2420,19,45,179,430,18,40,0,3.8234900000097696,29,2,0.2526275141868976,0,"[{""node"":""N3"",""tasks"":6,""started"":4,""wait"":18.75,""unstarted"":2},{""node"":""N4"",""tasks"":7,""started"":5,""wait"":30.2,""unstarted"":2},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":12.5,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":3,""wait"":51.666666666666664,""unstarted"":1},{""node"":""N7"",""tasks"":6,""started"":2,""wait"":19.0,""unstarted"":4},{""node"":""N8"",""tasks"":8,""started"":3,""wait"":33.333333333333336,""unstarted"":5}]"
3,10,16,36,0.43478260869565216,30.27777777777778,24.272727272727273,2169,18,50,126,404,7,30,0,4.417744099991978,29,0,0.21741778319123023,0,"[{""node"":""N3"",""tasks"":6,""started"":5,""wait"":22.2,""unstarted"":1},{""node"":""N4"",""tasks"":7,""started"":2,""wait"":21.0,""unstarted"":5},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":17.0,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":35.0,""unstarted"":2},{""node"":""N7"",""tasks"":6,""started"":2,""wait"":19.0,""unstarted"":4},{""node"":""N8"",""tasks"":8,""started"":5,""wait"":50.0,""unstarted"":3}]"
3,20,17,36,0.6086956521739131,27.58823529411765,27.142857142857142,2167,17,46,129,430,6,34,0,4.3230014000000665,29,1,0.2455249153362361,0,"[{""node"":""N3"",""tasks"":6,""started"":5,""wait"":28.0,""unstarted"":1},{""node"":""N4"",""tasks"":7,""started"":4,""wait"":20.25,""unstarted"":3},{""node"":""N5"",""tasks"":5,""started"":2,""wait"":14.0,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":53.0,""unstarted"":2},{""node"":""N7"",""tasks"":6,""started"":2,""wait"":20.0,""unstarted"":4},{""node"":""N8"",""tasks"":8,""started"":2,""wait"":37.0,""unstarted"":6}]"
