seed,event_rate,resource_scale,method,completed,total_tasks,urgent_satisfaction,mean_response,p1_response,weighted_response,started_tasks,unmet,lateness,travel,reassignments,withdrawals,violations,solve_seconds,solver_calls,fallback_calls,region_gini,unserved_regions,region_waits,lex_complete_calls,lex_proven_p1_calls
1,high,0.5,greedy,14,36,0.5454545454545454,37.05263157894737,39.35294117647059,3450,19,45,190,359,18,22,0,0.05055870006617624,31,31,0.1378161441768893,0,"[{""node"":""N3"",""tasks"":7,""started"":3,""wait"":25.0,""unstarted"":4},{""node"":""N4"",""tasks"":7,""started"":4,""wait"":28.75,""unstarted"":3},{""node"":""N5"",""tasks"":9,""started"":5,""wait"":51.6,""unstarted"":4},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":43.0,""unstarted"":2},{""node"":""N7"",""tasks"":5,""started"":4,""wait"":32.75,""unstarted"":1},{""node"":""N8"",""tasks"":4,""started"":1,""wait"":39.0,""unstarted"":3}]",,
1,high,0.5,static,4,36,0.09090909090909091,17.5,17.5,280,4,66,0,135,0,0,0,0.010039200002211146,1,0,0.16428571428571428,2,"[{""node"":""N3"",""tasks"":7,""started"":1,""wait"":10.0,""unstarted"":6},{""node"":""N4"",""tasks"":7,""started"":1,""wait"":17.0,""unstarted"":6},{""node"":""N5"",""tasks"":9,""started"":1,""wait"":18.0,""unstarted"":8},{""node"":""N6"",""tasks"":4,""started"":0,""wait"":null,""unstarted"":4},{""node"":""N7"",""tasks"":5,""started"":1,""wait"":25.0,""unstarted"":4},{""node"":""N8"",""tasks"":4,""started"":0,""wait"":null,""unstarted"":4}]",,
1,high,0.5,rolling,19,36,0.5909090909090909,27.954545454545453,26.125,2681,22,35,157,337,17,23,0,3.145511200011242,31,0,0.3378519172838667,0,"[{""node"":""N3"",""tasks"":7,""started"":5,""wait"":25.6,""unstarted"":2},{""node"":""N4"",""tasks"":7,""started"":3,""wait"":19.0,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":7,""wait"":14.142857142857142,""unstarted"":2},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":33.0,""unstarted"":2},{""node"":""N7"",""tasks"":5,""started"":3,""wait"":28.0,""unstarted"":2},{""node"":""N8"",""tasks"":4,""started"":2,""wait"":90.5,""unstarted"":2}]",,
1,high,0.5,lexicographic,18,36,0.6818181818181818,29.42105263157895,29.0,2605,19,38,159,350,18,67,0,3.127951700022095,31,2,0.29370529327610867,0,"[{""node"":""N3"",""tasks"":7,""started"":3,""wait"":21.666666666666668,""unstarted"":4},{""node"":""N4"",""tasks"":7,""started"":3,""wait"":18.666666666666668,""unstarted"":4},{""node"":""N5"",""tasks"":9,""started"":6,""wait"":14.833333333333334,""unstarted"":3},{""node"":""N6"",""tasks"":4,""started"":1,""wait"":26.0,""unstarted"":3},{""node"":""N7"",""tasks"":5,""started"":4,""wait"":48.5,""unstarted"":1},{""node"":""N8"",""tasks"":4,""started"":2,""wait"":64.5,""unstarted"":2}]",22,23
1,high,0.5,rolling_forecast,19,36,0.6363636363636364,25.045454545454547,25.705882352941178,2527,22,35,104,319,17,17,0,3.010232500048005,31,0,0.262835209295088,1,"[{""node"":""N3"",""tasks"":7,""started"":4,""wait"":16.25,""unstarted"":3},{""node"":""N4"",""tasks"":7,""started"":4,""wait"":16.0,""unstarted"":3},{""node"":""N5"",""tasks"":9,""started"":7,""wait"":14.857142857142858,""unstarted"":2},{""node"":""N6"",""tasks"":4,""started"":2,""wait"":45.0,""unstarted"":2},{""node"":""N7"",""tasks"":5,""started"":5,""wait"":45.6,""unstarted"":0},{""node"":""N8"",""tasks"":4,""started"":0,""wait"":null,""unstarted"":4}]",,
5,low,0.5,greedy,10,12,1.0,24.0,17.0,890,10,5,6,241,0,1,0,0.007841100014047697,14,14,0.2878612716763006,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":9.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":18.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":15.0,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":30.0,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":43.0,""unstarted"":0}]",,
5,low,0.5,static,4,12,0.4,17.5,18.0,282,4,20,0,141,0,0,0,0.01568579999729991,1,0,0.19285714285714287,2,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":9.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":1,""wait"":15.0,""unstarted"":2},{""node"":""N5"",""tasks"":3,""started"":1,""wait"":21.0,""unstarted"":2},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":1,""wait"":25.0,""unstarted"":1},{""node"":""N8"",""tasks"":2,""started"":0,""wait"":null,""unstarted"":2}]",,
5,low,0.5,rolling,10,12,1.0,21.5,20.4,849,10,5,0,233,0,0,0,0.09572250000201166,14,0,0.16596434359805512,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":9.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":18.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":23.5,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":27.0,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":25.0,""unstarted"":0}]",,
5,low,0.5,lexicographic,10,12,1.0,22.0,20.4,864,10,5,0,233,0,0,0,0.18380279996199533,14,0,0.1810126582278481,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":9.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":18.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":23.5,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":29.5,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":25.0,""unstarted"":0}]",14,14
5,low,0.5,rolling_forecast,10,12,1.0,21.5,20.4,849,10,5,0,233,0,0,0,0.08421360004285816,14,0,0.16596434359805512,1,"[{""node"":""N3"",""tasks"":1,""started"":1,""wait"":9.0,""unstarted"":0},{""node"":""N4"",""tasks"":3,""started"":3,""wait"":18.333333333333332,""unstarted"":0},{""node"":""N5"",""tasks"":3,""started"":2,""wait"":23.5,""unstarted"":1},{""node"":""N6"",""tasks"":1,""started"":0,""wait"":null,""unstarted"":1},{""node"":""N7"",""tasks"":2,""started"":2,""wait"":27.0,""unstarted"":0},{""node"":""N8"",""tasks"":2,""started"":2,""wait"":25.0,""unstarted"":0}]",,
