station_id,type,model,horizon_minutes,mae,rmse,test_samples,train_samples,features,cadence_minutes,milliseconds,protocol
S03,soil_moisture,Gradient Boosting,60,1.5834756790301592,1.8490938781192081,70,243,72,60,20.457699996768497,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,Gradient Boosting,180,0.15015500519851208,0.2255690276599917,70,243,72,60,56.880899996031076,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,Gradient Boosting,180,2.0102732139502386,2.29247405150872,70,243,72,60,56.94989999756217,joint_lags_fixed_train_recursive_common_origins
S02,rainfall,Gradient Boosting,180,0.28822953567551135,0.35240420334398487,70,243,72,60,57.01039999257773,joint_lags_fixed_train_recursive_common_origins
S02,soil_moisture,Gradient Boosting,180,1.955639995468332,2.173421733710621,70,243,72,60,57.06939999072347,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,Gradient Boosting,180,0.23165327898132318,0.2812621938023546,70,243,72,60,57.126399988192134,joint_lags_fixed_train_recursive_common_origins
S03,soil_moisture,Gradient Boosting,180,1.6922637034192871,1.9375262209034556,70,243,72,60,57.18350000097416,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,Gradient Boosting,360,0.3450958814402077,0.4739190173561857,70,243,72,60,112.74449998745695,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,Gradient Boosting,360,2.145483839845824,2.392080000651069,70,243,72,60,112.82749999372754,joint_lags_fixed_train_recursive_common_origins
S02,rainfall,Gradient Boosting,360,0.4110131078241414,0.4461679254901275,70,243,72,60,112.9060999955982,joint_lags_fixed_train_recursive_common_origins
S02,soil_moisture,Gradient Boosting,360,2.0516384938420296,2.2258762824678797,70,243,72,60,112.96939999738242,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,Gradient Boosting,360,0.7267793771707369,0.7620433125222039,70,243,72,60,113.03209999459796,joint_lags_fixed_train_recursive_common_origins
S03,soil_moisture,Gradient Boosting,360,1.7703273522653058,1.976882640457322,70,243,72,60,113.09669999172911,joint_lags_fixed_train_recursive_common_origins
S01,rainfall,Gradient Boosting,720,0.46643043746849155,1.1589584635579206,70,243,72,60,233.8362999871606,joint_lags_fixed_train_recursive_common_origins
S01,soil_moisture,Gradient Boosting,720,2.357092874858009,2.531207084760404,70,243,72,60,233.9149999897927,joint_lags_fixed_train_recursive_common_origins
S02,rainfall,Gradient Boosting,720,0.39121941564925256,0.6070335232680767,70,243,72,60,233.98079999606125,joint_lags_fixed_train_recursive_common_origins
S02,soil_moisture,Gradient Boosting,720,2.184495636699172,2.28448940890167,70,243,72,60,234.0457999962382,joint_lags_fixed_train_recursive_common_origins
S03,rainfall,Gradient Boosting,720,0.6590814748141351,0.9371241414867006,70,243,72,60,234.106799995061,joint_lags_fixed_train_recursive_common_origins
S03,soil_moisture,Gradient Boosting,720,1.938454560203201,2.067064881237825,70,243,72,60,234.1689999884693,joint_lags_fixed_train_recursive_common_origins
